"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
437,0,3,1,21,2,2,34.375,4
438,1,2,1,24,2,3,18.75,4
440,0,2,2,31,0,0,10.5,4
442,0,3,2,20,0,0,9.5,4
443,0,3,2,25,1,0,7.775,4
447,1,2,1,13,0,1,19.5,4
448,1,1,2,34,0,0,26.55,4
449,1,3,1,5,2,1,19.2583,2
450,1,1,2,52,0,0,30.5,4
451,0,2,2,36,1,2,27.75,4
453,0,1,2,30,0,0,27.75,2
454,1,1,2,49,1,0,89.1042,2
456,1,3,2,29,0,0,7.8958,2
462,0,3,2,34,0,0,8.05,4
463,0,1,2,47,0,0,38.5,4
464,0,2,2,48,0,0,13,4
470,1,3,1,0.75,2,1,19.2583,2
472,0,3,2,38,0,0,8.6625,4
474,1,2,1,23,0,0,13.7917,2
475,0,3,1,22,0,0,9.8375,4
477,0,2,2,34,1,0,21,4
478,0,3,2,29,1,0,7.0458,4
480,1,3,1,2,0,1,12.2875,4
481,0,3,2,9,5,2,46.9,4
484,1,3,1,63,0,0,9.5875,4
485,1,1,2,25,1,0,91.0792,2
487,1,1,1,35,1,0,90,4
490,1,3,2,9,1,1,15.9,4
492,0,3,2,21,0,0,7.25,4
493,0,1,2,55,0,0,30.5,4
494,0,1,2,71,0,0,49.5042,2
495,0,3,2,21,0,0,8.05,4
497,1,1,1,54,1,0,78.2667,2
500,0,3,2,24,0,0,7.7958,4
501,0,3,2,17,0,0,8.6625,4
502,0,3,1,21,0,0,7.75,3
505,1,1,1,16,0,0,86.5,4
506,0,1,2,18,1,0,108.9,2
507,1,2,1,33,0,2,26,4
511,1,3,2,29,0,0,7.75,3
514,1,1,1,54,1,0,59.4,2
515,0,3,2,24,0,0,7.4958,4
516,0,1,2,47,0,0,34.0208,4
517,1,2,1,34,0,0,10.5,4
519,1,2,1,36,1,0,26,4
520,0,3,2,32,0,0,7.8958,4
522,0,3,2,22,0,0,7.8958,4
529,0,3,2,39,0,0,7.925,4
531,1,2,1,2,1,1,26,4
533,0,3,2,17,1,1,7.2292,2
535,0,3,1,30,0,0,8.6625,4
536,1,2,1,7,0,2,26.25,4
537,0,1,2,45,0,0,26.55,4
538,1,1,1,30,0,0,106.425,2
541,1,1,1,36,0,2,71,4
543,0,3,1,11,4,2,31.275,4
544,1,2,2,32,1,0,26,4
545,0,1,2,50,1,0,106.425,2
547,1,2,1,19,1,0,26,4
551,1,1,2,17,0,2,110.8833,2
552,0,2,2,27,0,0,26,4
555,1,3,1,22,0,0,7.775,4
556,0,1,2,62,0,0,26.55,4
557,1,1,1,48,1,0,39.6,2
562,0,3,2,40,0,0,7.8958,4
563,0,2,2,28,0,0,13.5,4
566,0,3,2,24,2,0,24.15,4
568,0,3,1,29,0,4,21.075,4
570,1,3,2,32,0,0,7.8542,4
571,1,2,2,62,0,0,10.5,4
572,1,1,1,53,2,0,51.4792,4
576,0,3,2,19,0,0,14.5,4
577,1,2,1,34,0,0,13,4
578,1,1,1,39,1,0,55.9,4
581,1,2,1,25,1,1,30,4
582,1,1,1,39,1,1,110.8833,2
583,0,2,2,54,0,0,26,4
584,0,1,2,36,0,0,40.125,2
586,1,1,1,18,0,2,79.65,4
587,0,2,2,47,0,0,15,4
588,1,1,2,60,1,1,79.2,2
591,0,3,2,35,0,0,7.125,4
593,0,3,2,47,0,0,7.25,4
598,0,3,2,49,0,0,0,4
600,1,1,2,49,1,0,56.9292,2
601,1,2,1,24,2,1,27,4
604,0,3,2,44,0,0,8.05,4
605,1,1,2,35,0,0,26.55,2
607,0,3,2,30,0,0,7.8958,4
608,1,1,2,27,0,0,30.5,4
609,1,2,1,22,1,2,41.5792,2
611,0,3,1,39,1,5,31.275,4
616,1,2,1,24,1,2,65,4
617,0,3,2,34,1,1,14.4,4
619,1,2,1,4,2,1,39,4
621,0,3,2,27,1,0,14.4542,2
625,0,3,2,21,0,0,16.1,4
626,0,1,2,61,0,0,32.3208,4
628,1,1,1,21,0,0,77.9583,4
629,0,3,2,26,0,0,7.8958,4
631,1,1,2,80,0,0,30,4
632,0,3,2,51,0,0,7.0542,4
633,1,1,2,32,0,0,30.5,2
636,1,2,1,28,0,0,13,4
638,0,2,2,31,1,1,26.25,4
639,0,3,1,41,0,5,39.6875,4
641,0,3,2,20,0,0,7.8542,4
642,1,1,1,24,0,0,69.3,2
645,1,3,1,0.75,2,1,19.2583,2
648,1,1,2,56,0,0,35.5,2
650,1,3,1,23,0,0,7.55,4
652,1,2,1,18,0,1,23,4
653,0,3,2,21,0,0,8.4333,4
655,0,3,1,18,0,0,6.75,3
656,0,2,2,24,2,0,73.5,4
660,0,1,2,58,0,2,113.275,2
663,0,1,2,47,0,0,25.5875,4
664,0,3,2,36,0,0,7.4958,4
665,1,3,2,20,1,0,7.925,4
666,0,2,2,32,2,0,73.5,4
667,0,2,2,25,0,0,13,4
672,0,1,2,31,1,0,52,4
674,1,2,2,31,0,0,13,4
676,0,3,2,18,0,0,7.775,4
678,1,3,1,18,0,0,9.8417,4
679,0,3,1,43,1,6,46.9,4
682,1,1,2,27,0,0,76.7292,2
683,0,3,2,20,0,0,9.225,4
684,0,3,2,14,5,2,46.9,4
685,0,2,2,60,1,1,39,4
686,0,2,2,25,1,2,41.5792,2
689,0,3,2,18,0,0,7.7958,4
694,0,3,2,25,0,0,7.225,2
696,0,2,2,52,0,0,13.5,4
697,0,3,2,44,0,0,8.05,4
700,0,3,2,42,0,0,7.65,4
701,1,1,1,18,1,0,227.525,2
702,1,1,2,35,0,0,26.2875,4
703,0,3,1,18,0,1,14.4542,2
705,0,3,2,26,1,0,7.8542,4
707,1,2,1,45,0,0,13.5,4
708,1,1,2,42,0,0,26.2875,4
709,1,1,1,22,0,0,151.55,4
711,1,1,1,24,0,0,49.5042,2
713,1,1,2,48,1,0,52,4
714,0,3,2,29,0,0,9.4833,4
715,0,2,2,52,0,0,13,4
716,0,3,2,19,0,0,7.65,4
717,1,1,1,38,0,0,227.525,2
718,1,2,1,27,0,0,10.5,4
724,0,2,2,50,0,0,13,4
725,1,1,2,27,1,0,53.1,4
726,0,3,2,20,0,0,8.6625,4
727,1,2,1,30,3,0,21,4
729,0,2,2,25,1,0,26,4
731,1,1,1,29,0,0,211.3375,4
732,0,3,2,11,0,0,18.7875,2
734,0,2,2,23,0,0,13,4
736,0,3,2,28.5,0,0,16.1,4
738,1,1,2,35,0,0,512.3292,2
742,0,1,2,36,1,0,78.85,4
744,0,3,2,24,1,0,16.1,4
745,1,3,2,31,0,0,7.925,4
746,0,1,2,70,1,1,71,4
748,1,2,1,30,0,0,13,4
752,1,3,2,6,0,1,12.475,4
753,0,3,2,33,0,0,9.5,4
754,0,3,2,23,0,0,7.8958,4
755,1,2,1,48,1,2,65,4
756,1,2,2,0.67,1,1,14.5,4
757,0,3,2,28,0,0,7.7958,4
758,0,2,2,18,0,0,11.5,4
759,0,3,2,34,0,0,8.05,4
762,0,3,2,41,0,0,7.125,4
764,1,1,1,36,1,2,120,4
765,0,3,2,16,0,0,7.775,4
766,1,1,1,51,1,0,77.9583,4
768,0,3,1,30.5,0,0,7.75,3
770,0,3,2,32,0,0,8.3625,4
771,0,3,2,24,0,0,9.5,4
775,1,2,1,54,1,3,23,4
776,0,3,2,18,0,0,7.75,4
778,1,3,1,5,0,0,12.475,4
780,1,1,1,43,0,1,211.3375,4
782,1,1,1,17,1,0,57,4
783,0,1,2,29,0,0,30,4
786,0,3,2,25,0,0,7.25,4
787,1,3,1,18,0,0,7.4958,4
788,0,3,2,8,4,1,29.125,3
789,1,3,2,1,1,2,20.575,4
790,0,1,2,46,0,0,79.2,2
795,0,3,2,25,0,0,7.8958,4
797,1,1,1,49,0,0,25.9292,4
799,0,3,2,30,0,0,7.2292,2
800,0,3,1,30,1,1,24.15,4
801,0,2,2,34,0,0,13,4
803,1,1,2,11,1,2,120,4
804,1,3,2,0.42,0,1,8.5167,2
806,0,3,2,31,0,0,7.775,4
807,0,1,2,39,0,0,0,4
809,0,2,2,39,0,0,13,4
811,0,3,2,26,0,0,7.8875,4
812,0,3,2,39,0,0,24.15,4
814,0,3,1,6,4,2,31.275,4
815,0,3,2,30.5,0,0,8.05,4
819,0,3,2,43,0,0,6.45,4
820,0,3,2,10,3,2,27.9,4
823,0,1,2,38,0,0,0,4
824,1,3,1,27,0,1,12.475,4
825,0,3,2,2,4,1,39.6875,4
828,1,2,2,1,0,2,37.0042,2
830,1,1,1,62,0,0,80,1
834,0,3,2,23,0,0,7.8542,4
835,0,3,2,18,0,0,8.3,4
837,0,3,2,21,0,0,8.6625,4
839,1,3,2,32,0,0,56.4958,4
841,0,3,2,20,0,0,7.925,4
842,0,2,2,16,0,0,10.5,4
844,0,3,2,34.5,0,0,6.4375,2
846,0,3,2,42,0,0,7.55,4
848,0,3,2,35,0,0,7.8958,2
853,0,3,1,9,1,1,15.2458,2
855,0,2,1,44,1,0,26,4
856,1,3,1,18,0,1,9.35,4
857,1,1,1,45,1,1,164.8667,4
858,1,1,2,51,0,0,26.55,4
861,0,3,2,41,2,0,14.1083,4
862,0,2,2,21,1,0,11.5,4
863,1,1,1,48,0,0,25.9292,4
866,1,2,1,42,0,0,13,4
871,0,3,2,26,0,0,7.8958,4
872,1,1,1,47,1,1,52.5542,4
874,0,3,2,47,0,0,9,4
875,1,2,1,28,1,0,24,2
876,1,3,1,15,0,0,7.225,2
877,0,3,2,20,0,0,9.8458,4
878,0,3,2,19,0,0,7.8958,4
880,1,1,1,56,0,1,83.1583,2
881,1,2,1,25,0,1,26,4
882,0,3,2,33,0,0,7.8958,4
885,0,3,2,25,0,0,7.05,4
887,0,2,2,27,0,0,13,4
888,1,1,1,19,0,0,30,4
890,1,1,2,26,0,0,30,2
